step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,step_time,tokens_per_sec
1,1765115872.2518911,27.431377410888672,5.320540428161621,9.699824333190918,11.340950965881348,1.0700597763061523,,,204.49436665039957,7.675917290558013,,,0.03125,0,10.987540245056152,0,0.0625,0,0.025,0.0625,11.35783393581108,8.73537826538086,3.615895213033482e-05,35.4934139251709,7.212605711575471
2,1765115905.89525,27.178817749023438,5.309218883514404,9.527249336242676,11.34696102142334,0.9953885078430176,29.892732429504395,5.339658594131469,202.19223100410363,7.659583754240271,208.44155883789062,7.7034989737936055,0.0312500037252903,0,11.066460609436035,0,0.125,0,0.05,0.125,10.822293660588741,8.013072967529297,2.609253763220137e-05,33.64335894584656,7.609228329789125
3,1765116275.9018784,31.0535831451416,5.320332050323486,10.046491622924805,9.428333282470703,6.258426666259766,,,204.45175899576589,7.675616664884305,,,0.03125,0,10.037841796875,0,0.1875,0,0.07500000000000001,0.1875,20.724751029539398,19.64840316772461,0.001112907257030394,33.74227333068848,7.586922122617296
4,1765116309.7716758,27.37696075439453,5.130685806274414,10.506083488464355,6.519933223724365,5.220258712768555,27.103111267089844,4.901985120773316,169.13307080094492,7.40201496907149,134.55662536621094,7.072069624251149,0.03125,0,6.0832977294921875,0,0.25,0,0.1,0.25,18.037705119466395,16.883304595947266,0.003385514847557092,33.869797468185425,7.558356386407858
5,1765116682.900327,28.236553192138672,4.944556713104248,10.99117374420166,2.8542540073394775,9.446568489074707,,,140.40859576348038,7.133487449389732,,,0.03125,0,4.908044338226318,0,0.24970859289169312,0,0.09988343715667725,0.24970859289169312,21.5653420093807,21.301166534423828,0.011402067051097364,33.98737120628357,7.532209491761776
6,1765116716.8972554,22.139545440673828,5.25966739654541,10.32087230682373,0.4840586185455322,6.074948310852051,18.084324073791503,6.49152364730835,192.41748193375338,7.588096069721429,659.5275268554688,9.365288973785193,0.03125,0,1.4971601963043213,0,0.2488357424736023,0,0.09953429698944093,0.2488357424736023,19.83711179756788,19.738794326782227,0.005512507229403064,33.996928453445435,7.5300920302420895
7,1765117089.9583216,22.018383026123047,6.521801471710205,7.8864216804504395,0.9272531867027283,6.682906627655029,,,679.80192686061,9.408970640898657,,,0.03125,0,0.8551979064941406,0,0.24738551676273346,0,0.09895420670509339,0.24738551676273346,19.988649596154506,19.149066925048828,0.00156859295079004,33.80694770812988,7.572407962119491
8,1765117123.8219767,22.487091064453125,7.004723072052002,6.497802257537842,1.2968047857284546,7.687761306762695,14.187171077728271,6.58264856338501,1101.824886652405,10.105679238849929,722.4503784179688,9.496754438310413,0.03125,0,0.583186686038971,0,0.24536466598510742,0,0.09814586639404298,0.24536466598510742,18.66637851172363,17.35527229309082,0.0008580425508962027,33.86365509033203,7.559727363071543
9,1765117496.3959572,19.594924926757812,6.581637859344482,6.628580570220947,0.9538673758506775,5.430838584899902,,,721.7204383038537,9.495296300603338,,,0.03125,0,0.7224778532981873,0,0.24278263002634048,0,0.0971130520105362,0.24278263002634048,17.83327178240947,16.80179214477539,0.000321255287899127,34.02306652069092,7.524307071037091
10,1765117530.449704,17.720539093017578,5.779662132263184,6.323836326599121,0.4039582312107086,5.213082790374756,11.910290718078613,4.964988374710083,323.6498211095236,8.338289896229828,143.30686950683594,7.1629641062655915,0.0312500037252903,0,0.7320718169212341,0,0.23965142667293549,0,0.0958605706691742,0.23965142667293549,17.542015572625587,17.020095825195312,0.0006934699920005498,34.053746700286865,7.517528166668471
11,1765117904.3214364,17.0495662689209,4.978214263916016,6.631278038024902,0.3250238597393036,5.115050315856934,,,145.2148346112268,7.182045031034337,,,0.03125,0,0.9758180975914001,0,0.2359856739640236,0,0.09439426958560944,0.2359856739640236,17.496435664483162,17.401208877563477,0.0005575535906378677,34.12757849693298,7.5012647036474185
12,1765117938.3833067,16.878440856933594,4.396998882293701,6.80372953414917,0.8028848767280579,4.874828338623047,12.234367179870606,4.058944416046143,81.20679145623498,6.343528482279438,57.91313552856445,5.85581898027372,0.03125,0,1.2548996210098267,0,0.23180245608091354,0,0.09272098243236543,0.23180245608091354,15.116791021354963,15.065073013305664,0.0003786226655914727,34.06187033653259,7.515735262647357
13,1765118313.4422379,17.05752182006836,4.05745792388916,6.828649997711182,1.508388638496399,4.663023948669434,,,57.827123128471996,5.853674425410521,,,0.0312500037252903,0,1.3446693420410156,0,0.2271212786436081,0,0.09084851145744324,0.2271212786436081,16.749765790322954,16.473308563232422,0.0012317669122587215,34.084657192230225,7.510710715270346
14,1765118347.7112744,17.133766174316406,3.905136823654175,6.92488956451416,2.0747570991516113,4.228983402252197,10.058766078948974,3.877343678474426,49.65687368230443,5.633921529478757,48.295753479003906,5.593824496757226,0.03125,0,1.3410556316375732,0,0.22196395695209503,0,0.08878558278083802,0.22196395695209503,14.162145368010565,13.56247329711914,0.001224351552453308,34.269036531448364,7.470300478540483
15,1765118721.1145513,16.105878829956055,3.8600518703460693,6.728599548339844,2.007227659225464,3.509999990463257,,,47.46781347690998,5.5688776909224424,,,0.0312500037252903,0,1.1885768175125122,0,0.21635454893112183,0,0.08654181957244873,0.21635454893112183,14.013022257948592,13.40655517578125,0.0012758705961572238,33.86117601394653,7.560280832968125
16,1765118755.1646867,14.985420227050781,3.9155874252319336,6.527632713317871,1.681597352027893,2.860602617263794,9.103155422210694,4.025771379470825,50.178538995124924,5.648998560549296,56.023494720458984,5.807960404915281,0.03125,0,1.241217017173767,0,0.21031920611858368,0,0.08412768244743347,0.21031920611858368,13.934023811587647,13.518699645996094,0.001081357547147025,34.034504890441895,7.521778290122679
17,1765119126.70355,14.401416778564453,4.027937412261963,6.52150821685791,1.338800311088562,2.5131707191467285,,,56.14498777372357,5.811085329681458,,,0.03125,0,1.3954927921295166,0,0.20388606935739517,0,0.08155442774295807,0.20388606935739517,11.187679121406811,10.942093849182129,0.0021139966701152553,33.95726156234741,7.538888244270517
18,1765119160.694983,14.581623077392578,4.11185884475708,6.287430763244629,0.918860137462616,3.263472557067871,8.228314065933228,4.114687204360962,61.0601134160236,5.932158364166462,61.2330436706543,5.936238824540832,0.03125,0,1.2982226610183716,0,0.19708511978387833,0,0.07883404791355134,0.19708511978387833,11.586031020081618,11.471247673034668,0.000665715966193593,33.991432905197144,7.531309454178929
